"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.690277000E-2,2.410089783E-2,3.235645220E-2,-3.195699072E-3,4.047228394E-2
6.939558300E-2,2.410089783E-2,2.809552103E-2,-6.391398143E-3,3.756409920E-2
7.188844700E-2,1.983996481E-2,2.489982173E-2,-4.260932095E-3,3.212134599E-2
7.438126000E-2,1.557903271E-2,2.916075476E-2,-8.521864191E-3,3.414202758E-2
7.687407200E-2,1.025286783E-2,3.555215150E-2,-9.587096982E-3,3.822288848E-2
7.936688500E-2,7.057168987E-3,3.661738336E-2,-1.065232977E-2,3.878283806E-2
8.185969700E-2,4.926702939E-3,3.342168778E-2,-8.521864191E-3,3.484112204E-2
8.435256200E-2,-1.464695437E-3,3.129122034E-2,-8.521864191E-3,3.246394881E-2
8.684537400E-2,-1.464695437E-3,3.235645220E-2,-8.521864191E-3,3.349190202E-2
8.933818700E-2,-9.986559860E-3,2.703028731E-2,-8.521864191E-3,3.004979167E-2
9.183099900E-2,-7.856093347E-3,1.744319126E-2,-7.456631400E-3,2.053252239E-2
9.432386400E-2,-1.211702544E-2,1.744319126E-2,-7.456631400E-3,2.250974408E-2
9.703839500E-2,-1.105179265E-2,2.383458801E-2,-6.391398143E-3,2.703848510E-2
9.953120800E-2,-1.744319126E-2,1.850842312E-2,-1.065233024E-3,2.545508533E-2
1.020240200E-1,-2.170412242E-2,7.856093347E-3,-3.195699072E-3,2.330235236E-2
1.045168850E-1,-2.383458801E-2,1.211702544E-2,-2.130466048E-3,2.682254232E-2
1.070096970E-1,-2.063889056E-2,9.986559860E-3,-2.130466048E-3,2.302681192E-2
1.095025100E-1,-2.276935615E-2,5.725627299E-3,-3.195699072E-3,2.369470151E-2
1.119953220E-1,-2.276935615E-2,3.595161485E-3,1.065233024E-3,2.307603707E-2
1.144881870E-1,-1.850842312E-2,-1.731003635E-3,2.130466048E-3,1.871087880E-2
1.169809990E-1,-2.063889056E-2,2.529928461E-3,6.391398143E-3,2.175348965E-2
1.194738120E-1,-1.957365684E-2,-1.731003635E-3,6.391398143E-3,2.066335854E-2
1.219666240E-1,-1.531272475E-2,-1.131810062E-2,9.587096982E-3,2.131880319E-2
1.244594890E-1,-1.318225823E-2,-1.344856713E-2,8.521864191E-3,2.067022156E-2
1.271456870E-1,-1.637795754E-2,-1.664426550E-2,7.456631400E-3,2.451265834E-2
1.296384990E-1,-1.424749196E-2,-1.877473295E-2,1.278279629E-2,2.681196571E-2
1.321313120E-1,-3.595161485E-3,-2.090519853E-2,1.171756350E-2,2.423332016E-2
1.346241770E-1,-3.994623839E-4,-1.877473295E-2,1.171756350E-2,2.213484723E-2
1.371169890E-1,-5.725627299E-3,-1.557903271E-2,1.171756350E-2,2.031724298E-2
1.396098020E-1,-3.595161485E-3,-1.131810062E-2,1.171756350E-2,1.668310169E-2
1.421026140E-1,-3.595161485E-3,-9.187635034E-3,1.171756350E-2,1.531793452E-2
1.445954790E-1,1.731003635E-3,-2.796236658E-3,1.171756350E-2,1.217031665E-2
1.470882910E-1,6.657706108E-4,3.595161485E-3,1.384802908E-2,1.432258168E-2
1.495811040E-1,-3.994623839E-4,6.790860556E-3,1.384802908E-2,1.542865084E-2
1.520739160E-1,-1.464695437E-3,7.856093347E-3,9.587096982E-3,1.248102415E-2
1.545667810E-1,6.657706108E-4,1.105179265E-2,1.278279629E-2,1.691109849E-2
1.572736040E-1,4.926702939E-3,1.850842312E-2,1.384802908E-2,2.363476333E-2
1.597664160E-1,2.796236658E-3,2.276935615E-2,1.065232977E-2,2.529297627E-2
1.622592290E-1,5.991935730E-3,1.318225823E-2,1.065232977E-2,1.797629983E-2
1.647520930E-1,9.187635034E-3,1.318225823E-2,1.278279629E-2,2.053252178E-2
1.672449060E-1,2.796236658E-3,9.986559860E-3,1.278279629E-2,1.646056494E-2
1.697377180E-1,2.796236658E-3,2.529928461E-3,9.587096982E-3,1.030203407E-2
1.722305310E-1,1.344856713E-2,-2.796236658E-3,1.278279629E-2,1.876386896E-2
1.747233950E-1,1.131810062E-2,-1.131810062E-2,1.597849466E-2,2.261661103E-2
1.772162080E-1,1.025286783E-2,-5.991935730E-3,6.391398143E-3,1.348608774E-2
1.797090200E-1,1.238333434E-2,-5.991935730E-3,5.326164886E-3,1.475189125E-2
1.822018330E-1,1.451379992E-2,-1.451379992E-2,8.521864191E-3,2.222437728E-2
1.846946970E-1,1.344856713E-2,-1.770949923E-2,5.326164886E-3,2.286609615E-2
1.874116240E-1,1.557903271E-2,-2.090519853E-2,4.260932095E-3,2.641759126E-2
1.899044370E-1,1.877473295E-2,-2.290250920E-2,4.260932095E-3,2.991940954E-2
1.923972490E-1,1.557903271E-2,-2.290250920E-2,5.326164886E-3,2.820636843E-2
1.948901140E-1,1.131810062E-2,-2.716344222E-2,0.000000000E0,2.942706229E-2
1.973829270E-1,1.664426550E-2,-2.090519853E-2,-1.065233024E-3,2.674310418E-2
1.998757390E-1,1.344856713E-2,-2.396774292E-2,-4.260932095E-3,2.781136819E-2
2.023685520E-1,1.238333434E-2,-2.503297664E-2,0.000000000E0,2.792842439E-2
2.048614160E-1,1.238333434E-2,-2.929390781E-2,-2.130466048E-3,3.187505121E-2
2.073542290E-1,8.122402243E-3,-3.568530455E-2,-3.195699072E-3,3.673726816E-2
2.098470410E-1,4.926702939E-3,-3.781577200E-2,-3.195699072E-3,3.826901496E-2
2.123398540E-1,5.991935730E-3,-4.101147130E-2,-1.065233024E-3,4.146056914E-2
2.148327180E-1,2.796236658E-3,-4.527240247E-2,-4.260932095E-3,4.555836813E-2
2.175446970E-1,4.926702939E-3,-4.420717061E-2,-2.130466048E-3,4.453184501E-2
2.200375100E-1,6.657706108E-4,-4.420717061E-2,-3.195699072E-3,4.432752729E-2
2.225303220E-1,-1.464695437E-3,-5.166380107E-2,-2.130466048E-3,5.172845020E-2
2.250231870E-1,-2.529928461E-3,-4.633763805E-2,-2.130466048E-3,4.645552845E-2
2.275159990E-1,-6.790860556E-3,-4.314193875E-2,1.065233024E-3,4.368612351E-2
2.300088120E-1,-9.986559860E-3,-4.101147130E-2,1.065233024E-3,4.222329781E-2
2.325016240E-1,-4.660394508E-3,-4.101147130E-2,0.000000000E0,4.127541708E-2
2.349944890E-1,-4.660394508E-3,-4.207670316E-2,0.000000000E0,4.233400791E-2
2.374873020E-1,-6.790860556E-3,-3.142437339E-2,4.260932095E-3,3.243088917E-2
