"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.028865900E-2,2.090519853E-2,-1.877473295E-2,3.195699072E-3,2.827950522E-2
5.279985700E-2,9.653674066E-2,-1.770949923E-2,-2.450035885E-2,1.011594595E-1
5.531100300E-2,-8.921326138E-3,-2.796236658E-3,1.384802908E-2,1.670858788E-2
5.782214900E-2,-3.967992961E-2,3.994623839E-4,2.876129188E-2,4.900885935E-2
6.033334700E-2,3.368799388E-2,-2.796236658E-3,-1.065233024E-3,3.382062378E-2
6.283126400E-2,1.664426550E-2,-6.657706108E-4,3.195699072E-3,1.696134774E-2
6.534246100E-2,1.664426550E-2,1.464695437E-3,5.326164886E-3,1.753695924E-2
6.785360700E-2,1.664426550E-2,3.994623839E-4,4.260932095E-3,1.718565351E-2
7.036480500E-2,1.770949923E-2,3.994623839E-4,4.260932095E-3,1.821926111E-2
7.287595100E-2,1.451379992E-2,1.464695437E-3,1.065233024E-3,1.462636121E-2
7.538709700E-2,1.664426550E-2,1.464695437E-3,3.195699072E-3,1.701144907E-2
7.789829500E-2,1.451379992E-2,1.464695437E-3,6.391398143E-3,1.592625791E-2
8.040944100E-2,1.344856713E-2,3.994623839E-4,5.326164886E-3,1.447036836E-2
8.292058600E-2,1.131810062E-2,-6.657706108E-4,3.195699072E-3,1.177943736E-2
8.543178400E-2,1.344856713E-2,-2.796236658E-3,4.260932095E-3,1.438187886E-2
8.794293000E-2,7.057168987E-3,3.994623839E-4,6.391398143E-3,9.529594667E-3
9.045412800E-2,1.025286783E-2,-2.796236658E-3,4.260932095E-3,1.144970656E-2
9.295881600E-2,7.057168987E-3,-2.796236658E-3,2.130466048E-3,7.884253873E-3
9.547001400E-2,8.122402243E-3,-1.731003635E-3,3.195699072E-3,8.898442804E-3
9.798115900E-2,3.861469682E-3,-4.926702939E-3,4.260932095E-3,7.572244864E-3
1.004923570E-1,3.861469682E-3,-3.861469682E-3,6.391398143E-3,8.406656079E-3
1.030035030E-1,8.122402243E-3,-1.731003635E-3,2.130466048E-3,8.573720159E-3
1.055146490E-1,2.796236658E-3,-6.657706108E-4,1.065233024E-3,3.065438199E-3
1.080257950E-1,-1.464695437E-3,-2.796236658E-3,3.195699072E-3,4.491855377E-3
1.105369930E-1,1.731003635E-3,-2.796236658E-3,0.000000000E0,3.288664324E-3
1.130481910E-1,3.861469682E-3,-4.926702939E-3,0.000000000E0,6.259660530E-3
1.155593360E-1,3.861469682E-3,-2.796236658E-3,1.065233024E-3,4.885141651E-3
1.180704820E-1,3.861469682E-3,-9.187635034E-3,-1.065233024E-3,1.002288916E-2
