"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.745699300E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
4.247772200E-2,-2.143418789E-2,-5.728006363E-4,-3.242111206E-2,3.887005297E-2
4.749850400E-2,-3.147798777E-2,-1.176011562E-2,5.999374390E-2,6.876345934E-2
5.249548300E-2,-3.412884474E-2,-2.136707306E-3,2.179431915E-2,4.055041194E-2
5.751626400E-2,-1.761162281E-2,2.348971367E-2,2.135276794E-3,2.943629245E-2
6.253699300E-2,-6.729960442E-3,8.146405220E-3,-6.132125854E-3,1.221717042E-2
6.755777400E-2,-1.026016474E-2,-1.284670830E-2,-4.210281372E-2,4.519906877E-2
7.257860800E-2,1.139587164E-2,-1.075577736E-2,-2.626514435E-2,3.058448045E-2
7.759933700E-2,1.365327835E-2,-5.508661270E-4,-2.324295044E-2,2.696201417E-2
8.263959700E-2,2.788543701E-3,2.118468285E-3,-5.720138550E-3,6.707001482E-3
8.766037900E-2,1.249545813E-2,6.735324860E-5,1.231384277E-2,1.754342424E-2
9.268116000E-2,2.829456329E-2,-2.820277214E-2,-2.377033234E-2,4.648663644E-2
9.770194100E-2,8.499366045E-2,-1.459753513E-2,-5.059242249E-2,9.998301637E-2
1.027227220E-1,1.004372239E-1,-1.994025707E-2,-3.800392151E-2,1.092224695E-1
1.077434510E-1,9.316033125E-2,-1.856184006E-2,3.164291382E-2,1.001232402E-1
1.127578790E-1,7.788181305E-2,2.767562866E-3,4.989910126E-2,9.253732498E-2
1.177786600E-1,7.986301184E-2,-2.009046078E-2,-4.899978638E-3,8.249689124E-2
1.227994410E-1,5.737674236E-2,5.814194679E-3,-2.953052521E-2,6.479156846E-2
1.278202220E-1,3.861951828E-2,3.501069546E-2,-5.975723267E-2,7.929781110E-2
1.328410040E-1,4.818439484E-4,8.279442787E-3,-1.126098633E-2,1.398539093E-2
1.378617330E-1,-3.821247816E-2,1.934754848E-2,4.631137848E-2,6.308141482E-2
1.429051180E-1,-5.230516195E-2,3.900945187E-2,4.190540314E-2,7.754759902E-2
1.479258990E-1,-7.754316926E-2,5.298972130E-3,-1.152038574E-3,7.773255044E-2
1.529466810E-1,-7.213869691E-2,-2.440547943E-2,-5.640983582E-3,7.636386393E-2
1.579674620E-1,-5.112123489E-2,-3.661406040E-2,-1.221752167E-2,6.405652123E-2
1.629882430E-1,-3.330397606E-2,-1.161062717E-2,1.598262787E-2,3.872216262E-2
1.680089720E-1,-3.243690729E-2,-8.408784866E-3,9.851741791E-2,1.040602818E-1
1.730274100E-1,-2.472221851E-2,-1.241576672E-2,1.181612015E-1,1.213565362E-1
1.780481910E-1,-1.498585939E-2,-2.605128288E-2,1.372117996E-1,1.404646691E-1
1.830689720E-1,2.008801699E-2,-2.320194244E-2,8.165836334E-2,8.723500939E-2
1.880897540E-1,4.028111696E-2,-2.516281605E-2,3.029060364E-2,5.633166395E-2
1.931105350E-1,5.770927668E-2,-3.400313854E-2,-1.480007172E-2,6.859749389E-2
1.981312640E-1,3.068184853E-2,3.399682045E-2,-9.773254395E-3,4.682601981E-2
2.031729310E-1,3.469753265E-2,2.567267418E-2,-7.222175598E-3,4.376259581E-2
2.081937120E-1,1.302981377E-2,6.880521774E-2,-9.536743164E-5,7.002815955E-2
2.132144930E-1,-5.760371685E-3,8.755123615E-2,-2.473831177E-3,8.777539903E-2
2.182352740E-1,-2.988934517E-3,1.012386084E-1,-5.140399933E-2,1.135806352E-1
2.232560560E-1,-2.682387829E-3,9.394884109E-2,-8.737945557E-2,1.283306246E-1
2.282767850E-1,-1.648473740E-2,9.198772907E-2,-1.154308319E-1,1.485185706E-1
2.332938160E-1,-2.070522308E-2,6.464970112E-2,-1.124610901E-1,1.313612839E-1
2.383145970E-1,-2.487313747E-2,5.926156044E-2,-5.351543427E-2,8.363317056E-2
2.433353790E-1,-2.666890621E-2,5.876469612E-2,-3.107357025E-2,7.162462452E-2
2.483561600E-1,4.014253616E-3,3.028595448E-2,-4.658317566E-2,5.570767923E-2
2.533769410E-1,-1.126825809E-3,3.747904301E-2,-2.432155609E-2,4.469324884E-2
2.583976700E-1,-2.035361528E-2,1.408517361E-2,-1.895427704E-2,3.117573397E-2
2.634251700E-1,-1.796728373E-2,-3.997683525E-3,-1.370525360E-2,2.294861073E-2
2.684459510E-1,7.785737514E-3,-2.858877182E-2,-2.027797699E-2,3.590448348E-2
2.734667330E-1,3.333109617E-2,-1.993536949E-2,6.085395813E-3,3.931174088E-2
2.784874620E-1,3.020352125E-2,-4.687297344E-2,2.719306946E-2,6.203862798E-2
2.835082950E-1,1.765877008E-2,-4.062879086E-2,7.838916779E-2,9.004105971E-2
2.885290240E-1,2.207493782E-2,-5.805361271E-2,8.162021637E-2,1.025640510E-1
2.935577220E-1,4.061359167E-2,-6.602227688E-2,1.106252670E-1,1.350790679E-1
2.985785040E-1,3.532087803E-2,-4.581201077E-2,1.108999252E-1,1.250803669E-1
3.035992850E-1,2.540963888E-2,-9.648323059E-3,9.708881378E-2,1.008215138E-1
3.086200660E-1,-8.274316788E-4,-1.878118515E-2,7.181167603E-2,7.423162650E-2
3.136408470E-1,-1.487016678E-2,-2.790462971E-2,7.287311554E-2,7.943727832E-2
3.186615760E-1,-3.343617916E-2,-1.628875732E-3,4.804611206E-2,5.855817788E-2
3.237011600E-1,-1.408332586E-2,7.762074471E-3,1.660919189E-2,2.311828546E-2
3.287219410E-1,-2.802431583E-2,2.869844437E-3,-4.725837708E-2,5.501774704E-2
3.337427220E-1,-1.127201319E-2,7.584691048E-3,-5.351924896E-2,5.521680749E-2
3.387635040E-1,-6.469488144E-3,1.944947243E-2,-5.260944366E-2,5.646140113E-2
3.437842850E-1,-8.765459061E-3,3.363859653E-2,-5.171012878E-2,6.230831299E-2
3.488050140E-1,1.018315554E-2,4.273951054E-2,1.515007019E-2,4.647458493E-2
3.538198060E-1,5.859732628E-4,3.745532036E-2,7.781982422E-4,3.746798607E-2
3.588405870E-1,9.954452515E-3,3.246653080E-2,-2.749443054E-2,4.369336858E-2
3.638613680E-1,7.431864738E-3,1.812112331E-2,-5.534744263E-2,5.871070711E-2
3.688821490E-1,4.846215248E-3,4.190361500E-2,-8.041191101E-2,9.080459341E-2
3.739029310E-1,-1.052021980E-4,2.075982094E-2,-5.788326263E-2,6.149352264E-2
3.789236600E-1,-2.572774887E-3,2.353477478E-2,-3.805732727E-2,4.482036316E-2
3.839579310E-1,1.142698526E-2,1.909303665E-2,-2.325344086E-2,3.218450796E-2
3.889787120E-1,1.085674763E-2,-4.075407982E-3,-2.044582367E-2,2.350552328E-2
3.939994930E-1,8.204340935E-3,-1.520836353E-2,3.550529480E-3,1.764119585E-2
3.990202740E-1,1.975917816E-2,-9.604811668E-3,-1.126289368E-3,2.199877398E-2
4.040410560E-1,1.929461956E-2,-2.781248093E-2,1.338958740E-3,3.387638189E-2
