"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.345391900E-2,2.253055573E-5,-3.599792719E-3,2.556037903E-2,2.581263240E-2
5.843871100E-2,1.949334145E-2,-1.209971309E-2,4.839897156E-3,2.344819869E-2
6.342350200E-2,5.544829369E-2,2.433842421E-2,-1.821517944E-3,6.058209383E-2
6.840824200E-2,3.395569324E-2,5.561667681E-2,-9.455680847E-3,6.584537754E-2
7.363975200E-2,4.122388363E-2,4.506102204E-2,-1.011943817E-2,6.190563236E-2
7.862454400E-2,2.120339870E-2,6.203410029E-2,-6.723403931E-3,6.590157719E-2
8.360933600E-2,-6.813049316E-3,4.196399450E-2,-4.640960693E-2,6.293843096E-2
8.859412700E-2,2.335667610E-3,3.332975507E-2,-7.192993164E-2,7.931105208E-2
9.357891900E-2,-1.550221443E-2,5.000251532E-2,-3.488254547E-2,6.290756845E-2
9.856365900E-2,-2.749431133E-2,5.032595992E-2,-4.294490814E-2,7.164429170E-2
1.037756380E-1,-7.705450058E-3,3.761929274E-2,-2.637290955E-2,4.658449854E-2
1.087604290E-1,1.279950142E-2,3.726738691E-2,-2.226066589E-2,4.525729344E-2
1.137452210E-1,2.524733543E-2,3.061601520E-2,-5.430984497E-2,6.726312209E-2
1.187300130E-1,-3.298640251E-3,3.360262513E-2,-8.236694336E-2,8.901871040E-2
1.237147520E-1,1.040565968E-2,5.702564120E-2,-4.597568512E-2,7.398624960E-2
1.286995440E-1,1.890885830E-2,6.586843729E-2,1.989936829E-2,7.135951802E-2
1.339145440E-1,4.330277443E-3,3.600457311E-2,4.151535034E-2,5.512354217E-2
1.388993360E-1,8.893728256E-3,1.234686375E-2,6.214141846E-2,6.397733454E-2
1.438841270E-1,6.467103958E-3,-4.869076610E-2,1.070222855E-1,1.177556102E-1
1.488689190E-1,1.555109024E-2,-2.246496081E-2,9.751987457E-2,1.012750552E-1
1.538536590E-1,1.406908035E-3,-3.642219305E-2,1.000862122E-1,1.065166907E-1
1.588384500E-1,-7.629394531E-4,-6.385053694E-2,9.816169739E-2,1.171033389E-1
1.640423560E-1,-1.893699169E-2,-8.816105127E-2,1.125860214E-1,1.442449058E-1
1.690271480E-1,-2.258324623E-2,-9.126603603E-2,8.288002014E-2,1.253339143E-1
1.740119400E-1,3.757119179E-3,-8.770927787E-2,4.057502747E-2,9.671280279E-2
1.789967310E-1,-1.934564114E-2,-8.470612764E-2,5.297470093E-2,1.017629639E-1
1.839814710E-1,-9.344220161E-3,-6.125476956E-2,1.182842255E-2,6.308227029E-2
1.889662630E-1,2.774357796E-3,-4.100677371E-2,-1.405525208E-2,4.343734179E-2
1.941642310E-1,5.138754845E-3,-5.166649818E-2,-4.837894440E-2,7.096728892E-2
1.991490230E-1,5.161762238E-3,-1.345968246E-2,-3.526782990E-2,3.810021873E-2
2.041338150E-1,-8.748412132E-3,7.366240025E-3,-3.652858734E-2,3.827706755E-2
2.091186060E-1,1.716589928E-2,-5.008786917E-3,-7.032299042E-2,7.256086428E-2
2.141033460E-1,2.849483490E-2,6.179958582E-3,-4.504680634E-2,5.365968939E-2
2.190881380E-1,9.131431580E-5,5.432632565E-2,-3.449916840E-2,6.435488029E-2
2.243057420E-1,-1.815474033E-2,5.007380247E-2,-3.126811981E-2,6.176306021E-2
2.292905340E-1,2.464163303E-2,3.437826037E-2,-6.545829773E-2,7.793499603E-2
2.342753250E-1,1.252532005E-2,6.344500184E-2,-6.845760345E-2,9.417322003E-2
2.392601170E-1,7.693767548E-4,5.238011479E-2,-4.808330536E-2,7.110747233E-2
2.442449090E-1,-1.532161236E-2,2.997726202E-2,-4.693984985E-2,5.776450076E-2
2.492296480E-1,-4.999613762E-2,-1.138478518E-3,-2.244186401E-2,5.481374983E-2
2.544373560E-1,-1.838016510E-2,-3.335952759E-3,-1.724815369E-2,2.542553550E-2
2.594221480E-1,-2.266395092E-2,-4.313832521E-2,4.869842529E-2,6.889199082E-2
2.644069400E-1,-3.633153439E-2,-3.768834472E-2,6.403160095E-2,8.270693827E-2
2.693917310E-1,-4.034781456E-2,-2.309745550E-2,6.031799316E-2,7.615575415E-2
2.743765230E-1,-5.826020241E-2,-4.650431871E-2,5.201625824E-2,9.089881168E-2
2.793612630E-1,-2.208507061E-2,-4.387977719E-2,-1.000595093E-2,5.013286591E-2
2.845679290E-1,-2.437114716E-2,-2.733793855E-2,-1.442718506E-2,3.936317272E-2
2.895527210E-1,-2.190816402E-2,-4.867228866E-2,-2.111625671E-2,5.740083302E-2
2.945375130E-1,-4.763698578E-2,-4.381322861E-2,-1.594352722E-2,6.665641361E-2
2.995223040E-1,-1.195514202E-2,-1.552504301E-2,-3.200626373E-2,3.752803351E-2
3.045070440E-1,-1.455235481E-2,-8.940517902E-3,-5.247879028E-2,5.518810851E-2
3.094918360E-1,-7.751584053E-3,-4.787027836E-3,-2.086067200E-2,2.276335492E-2
3.147016270E-1,-1.505577564E-2,3.433552384E-2,-8.646965027E-3,3.847563621E-2
3.196864190E-1,-1.040220261E-3,5.633112788E-2,5.693435669E-3,5.662767200E-2
3.246712110E-1,1.502525806E-2,2.620553970E-2,-1.315784454E-2,3.294871111E-2
3.296560020E-1,4.253864288E-2,1.804995537E-2,-5.052375793E-2,6.846887718E-2
3.346407940E-1,3.202509880E-2,4.560479522E-2,-4.019165039E-2,6.870788209E-2
3.396255340E-1,2.164816856E-2,4.207941890E-2,-1.119422913E-2,4.862747642E-2
3.448350130E-1,3.042972088E-2,6.926634908E-2,1.024150848E-2,7.634581536E-2
3.498198040E-1,1.316475868E-2,9.379574656E-2,2.897167206E-2,9.904701271E-2
3.548045960E-1,2.226746082E-2,5.434185266E-2,3.089141846E-2,6.635628453E-2
3.597893880E-1,1.232445240E-2,2.513128519E-2,3.042984009E-2,4.134548089E-2
3.647741270E-1,-2.586996555E-2,1.099318266E-3,3.706932068E-2,4.521723293E-2
3.697589190E-1,7.432460785E-3,-4.383468628E-2,1.293277740E-2,4.630310925E-2
3.749809500E-1,7.357954979E-3,-4.317033291E-2,-6.142616272E-3,4.422158839E-2
3.799657420E-1,1.180088520E-2,-6.633289158E-2,-2.254867554E-2,7.104756270E-2
3.849505340E-1,6.740331650E-3,-4.919987917E-2,1.322078705E-2,5.138919528E-2
3.899353250E-1,-3.828763962E-2,-1.835286617E-2,4.139232635E-2,5.929667550E-2
3.949201170E-1,2.281427383E-3,-4.675120115E-3,7.781982422E-3,9.360604116E-3
3.999049090E-1,2.348852158E-2,2.058342099E-2,-2.773094177E-2,4.176593106E-2
4.051009500E-1,3.496313095E-2,2.660000324E-2,-3.204917908E-2,5.437950513E-2
4.100857420E-1,5.574429035E-2,3.523659706E-2,-6.468296051E-2,9.237385485E-2
4.150705340E-1,5.040931702E-2,-7.864087820E-3,-3.547000885E-2,6.213746573E-2
4.200553250E-1,3.117775917E-2,-3.131121397E-3,-3.031063080E-2,4.359576731E-2
4.250400650E-1,3.342950344E-2,1.341292262E-2,-3.940582275E-3,3.623487798E-2
4.300248560E-1,1.442468166E-2,2.270981669E-2,4.573059082E-2,5.305746085E-2
4.352240230E-1,-2.064228058E-3,-8.421629667E-3,6.641292572E-2,6.697657491E-2
4.402088150E-1,1.229393482E-2,4.357609153E-2,3.008842468E-2,5.436294589E-2
4.451936060E-1,2.914786339E-3,7.829239964E-2,-1.060485840E-3,7.835381581E-2
4.501783980E-1,-1.808369160E-2,7.732534409E-2,-4.131126404E-2,8.951451992E-2
4.551631380E-1,-2.472925186E-2,9.323766828E-2,-7.634925842E-2,1.230203558E-1
4.601479290E-1,4.102826118E-3,1.164335310E-1,-9.677982330E-2,1.514593494E-1
4.653617310E-1,1.382291317E-2,8.296772838E-2,-1.193838120E-1,1.460383903E-1
4.703465230E-1,1.153099537E-2,5.720961094E-2,-9.438800812E-2,1.109729675E-1
4.753313150E-1,6.798148155E-3,5.957841873E-3,-5.784893036E-2,5.855091324E-2
4.803161060E-1,-1.208782196E-2,-3.529480100E-2,-2.883529663E-2,4.715201744E-2
4.853008460E-1,-1.413190365E-2,-5.991831422E-2,2.591037750E-2,6.679268479E-2
4.902856380E-1,-1.605761051E-2,-8.451440930E-2,3.267097473E-2,9.202132810E-2
4.954948560E-1,-1.574099064E-2,-7.349744439E-2,8.439826965E-2,1.130164636E-1
5.004796480E-1,-2.028036118E-2,-8.183577657E-2,5.029392242E-2,9.817263371E-2
5.054644400E-1,-3.183150291E-2,-6.665301323E-2,4.715919495E-3,7.401424624E-2
5.104492310E-1,-1.487433910E-2,-3.046315908E-2,-9.554862976E-3,3.522137748E-2
5.154339710E-1,4.124045372E-3,-2.049195766E-2,-6.396198273E-2,6.729088581E-2
5.204187630E-1,-2.438187599E-2,-3.201895952E-2,-4.196262360E-2,5.814250962E-2
5.256180860E-1,-2.415108681E-2,-2.676445246E-2,-5.971908569E-3,3.654140940E-2
5.306104290E-1,-1.454782486E-2,-1.913371682E-2,5.950927734E-3,2.476190357E-2
5.356027210E-1,2.079129219E-3,-4.501506686E-2,3.673076630E-2,5.813629001E-2
5.405950650E-1,-1.713109016E-2,-8.519731462E-2,6.011390686E-2,1.056680579E-1
5.455874090E-1,-1.728785038E-2,-8.480070531E-2,7.380008698E-2,1.137386576E-1
5.505797520E-1,-4.126930237E-2,-3.712439537E-2,9.686470032E-2,1.116429407E-1
5.557502210E-1,-1.996636391E-2,-1.844197512E-3,6.278514862E-2,6.590926824E-2
5.607425650E-1,1.790499687E-2,2.600783110E-2,6.697845459E-2,7.404802206E-2
5.657348560E-1,3.659343719E-2,4.419744015E-2,4.501724243E-2,7.293178647E-2
5.707272000E-1,2.885282040E-2,8.383265138E-2,-7.570266724E-3,8.898150156E-2
5.757195440E-1,2.835774422E-2,8.544376493E-2,-2.883338928E-2,9.453128032E-2
5.807118880E-1,2.327895164E-2,6.836363673E-2,-8.315563202E-2,1.101378934E-1
5.859083980E-1,1.112532616E-2,7.087579370E-2,-5.392551422E-2,8.975027631E-2
5.909007420E-1,-7.932305336E-3,2.808594704E-2,-3.921604156E-2,4.888394220E-2
5.958930340E-1,-7.927060127E-3,-1.437935233E-2,-2.937698364E-2,3.365428983E-2
6.008853770E-1,-2.216887474E-2,-2.095198631E-2,-1.250171661E-2,3.296570424E-2
6.058777210E-1,-2.457249165E-2,-3.230789304E-2,1.136779785E-2,4.215251032E-2
