"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.167287300E-2,1.275727898E-2,6.364762783E-3,1.596927643E-2,2.140738569E-2
5.665631000E-2,-8.419327438E-3,2.290920913E-2,-2.392768860E-3,2.452432018E-2
6.163980000E-2,-8.636079729E-3,3.008157015E-3,1.917839050E-3,9.343927885E-3
6.662328900E-2,8.833721280E-3,2.519637346E-3,-8.382797241E-3,1.243601599E-2
7.180782100E-2,-6.670877337E-4,4.228100181E-3,5.134582520E-3,6.684741942E-3
7.679131000E-2,5.770437419E-3,-1.095800102E-2,-5.987167358E-3,1.375579541E-2
8.177480000E-2,-1.100994647E-3,-1.403142512E-2,-7.452964783E-3,1.592607184E-2
8.675823700E-2,-7.439091802E-3,1.325768977E-2,-6.707191467E-3,1.661604172E-2
9.174172700E-2,6.133355200E-3,-1.401859522E-2,-6.095886230E-3,1.647115317E-2
9.672521600E-2,1.298911870E-3,-6.104335189E-3,-3.390312195E-3,7.102414865E-3
1.019412580E-1,-1.199696958E-2,-1.446408033E-2,1.293182373E-3,1.883638022E-2
1.069247480E-1,-4.446588457E-3,-2.293959260E-3,1.009845734E-2,1.127001502E-2
1.119082370E-1,1.608897746E-2,9.052723646E-3,-1.293373108E-2,2.254081633E-2
1.168916750E-1,1.066047698E-2,1.074749231E-2,-1.437091827E-2,2.087289277E-2
1.218751640E-1,1.686672121E-2,1.014113426E-3,-2.705478668E-2,3.189790264E-2
1.268586540E-1,4.686720669E-3,-3.699719906E-3,-1.198005676E-2,1.338562804E-2
1.320650080E-1,4.461653531E-3,9.983032942E-4,-6.811141968E-3,8.203329604E-3
1.370484980E-1,6.634637713E-3,-1.491649449E-2,-2.467632294E-2,2.958785459E-2
1.420319870E-1,-2.834424376E-3,1.680821180E-3,1.300048828E-2,1.341162991E-2
1.470154250E-1,-7.257990539E-3,-7.576316595E-3,9.756088257E-4,1.053711594E-2
1.519989140E-1,4.734382033E-3,1.553260535E-2,-1.740169525E-2,2.380115963E-2
1.569824040E-1,6.854407489E-3,-1.218423247E-3,3.983497620E-3,8.020954465E-3
1.621982890E-1,1.344816387E-2,5.849793553E-3,-7.734298706E-4,1.468575465E-2
1.671817790E-1,-1.689102873E-2,5.690783262E-3,-7.438659668E-4,1.783942831E-2
1.721652680E-1,-7.017306983E-3,-1.424774528E-3,3.897666931E-3,8.152569366E-3
1.771487060E-1,-4.335299134E-3,-1.049770415E-2,1.449584961E-3,1.144979945E-2
1.821321960E-1,6.118565798E-4,2.472412586E-2,6.026268005E-3,2.545530739E-2
1.871156850E-1,-1.652762294E-3,2.386526763E-2,1.193046570E-3,2.395216029E-2
1.923392790E-1,-1.419603825E-3,1.383850724E-2,-5.801200867E-3,1.507227551E-2
1.973227680E-1,-1.527794078E-2,-1.220621169E-2,-5.620956421E-3,2.034704473E-2
2.023062580E-1,-5.501471460E-3,9.136393666E-3,-1.241779327E-2,1.636891772E-2
2.072896960E-1,1.095752418E-2,6.558701396E-3,8.872032166E-3,1.554981848E-2
2.122731850E-1,-3.350026906E-3,-1.693569124E-2,1.637458801E-3,1.734132605E-2
