"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.003053600E-2,1.054070890E-4,1.381933689E-4,-3.828048706E-3,3.831992296E-3
5.501491100E-2,-3.578193486E-3,1.023992896E-2,6.796836853E-3,1.280064861E-2
5.999933800E-2,-9.983032942E-4,-3.617197275E-3,9.930610657E-3,1.061591982E-2
6.498371300E-2,-9.330518544E-3,-9.529739618E-3,-1.856136322E-2,2.285604336E-2
7.019402600E-2,-8.223000914E-3,-8.504092693E-3,2.664566040E-3,1.212589167E-2
7.517840100E-2,9.915472940E-3,2.034148574E-2,1.533317566E-2,2.733493957E-2
8.016282800E-2,-1.264796034E-2,5.440950394E-3,-5.660057068E-3,1.488660767E-2
8.514720300E-2,-4.891529679E-3,1.588678360E-2,-2.056121826E-2,2.644013336E-2
9.013163000E-2,4.298228770E-3,7.950782776E-3,-1.455974579E-2,1.713697508E-2
9.511600500E-2,6.137039512E-3,-8.220434189E-3,-2.686786652E-2,2.875971216E-2
1.003314220E-1,-3.193259239E-3,-7.757931948E-3,-1.166343689E-2,1.436726045E-2
1.053157970E-1,-6.793551147E-4,-7.354944944E-3,-4.199028015E-3,8.496385983E-3
1.103002240E-1,-9.538516402E-3,1.108098030E-2,-8.461952209E-3,1.689307713E-2
1.152845990E-1,1.584869623E-2,-7.667273283E-3,-2.382946014E-2,2.962788252E-2
1.202690260E-1,1.417964697E-3,-4.396140575E-4,2.389907837E-3,2.813457636E-3
1.252534010E-1,-3.182955086E-3,1.774877310E-3,-1.138687134E-2,1.195584507E-2
1.304762130E-1,-2.120836079E-2,3.884434700E-3,-1.769065857E-2,2.788983329E-2
1.354605880E-1,5.027845502E-3,1.387596130E-3,-2.374553680E-2,2.431162626E-2
1.404450150E-1,1.404597983E-2,-7.872074842E-3,1.993179321E-4,1.610275875E-2
1.454293900E-1,-1.411432773E-2,-7.678061724E-3,-2.108573914E-3,1.620533749E-2
1.504138170E-1,9.417284280E-3,8.643001318E-3,1.407051086E-2,1.900962890E-2
1.553981920E-1,1.598395035E-2,1.278352737E-2,8.919715881E-3,2.232636496E-2
1.606025150E-1,1.305248961E-2,-3.820300102E-3,1.668930054E-3,1.370209858E-2
1.655868900E-1,7.985275239E-3,-3.717660904E-3,-2.380084991E-2,2.537845700E-2
1.705713170E-1,-6.098359823E-3,1.102954149E-3,-6.788253784E-3,9.191675028E-3
1.755556920E-1,3.438156098E-3,5.763977766E-3,1.659584045E-2,1.790157193E-2
1.805401200E-1,5.670219660E-3,-1.532074809E-2,1.374149323E-2,2.134725624E-2
1.855244950E-1,2.160810865E-2,1.317709684E-3,-7.575988770E-3,2.293561258E-2
1.907634530E-1,-4.631817341E-3,5.940914154E-3,1.944541931E-3,7.780066593E-3
1.957478280E-1,-2.151589841E-3,-1.141965389E-3,1.889228821E-3,3.082630262E-3
2.007322550E-1,5.011137575E-3,-5.696415901E-3,1.580047607E-2,1.752756966E-2
2.057166300E-1,1.886614785E-2,-5.623072386E-3,-1.491737366E-2,2.469976750E-2
2.107010570E-1,-1.896307990E-2,3.867834806E-3,-1.917552948E-2,2.724443936E-2
2.156854320E-1,-9.010910988E-3,-7.930815220E-3,-2.333641052E-2,2.624275906E-2
2.208720470E-1,-1.109261438E-2,-1.009732485E-2,-8.734703064E-3,1.735791176E-2
2.258564220E-1,-1.079183817E-2,-7.594823837E-3,-3.849029541E-3,1.374627763E-2
2.308408490E-1,2.211234905E-2,-2.770304680E-3,7.929801941E-3,2.365401292E-2
2.358252240E-1,-4.270579666E-3,6.615251303E-3,1.709270477E-2,1.881913805E-2
2.408096510E-1,5.206964910E-3,-6.430149078E-4,2.605247498E-2,2.657550384E-2
2.457940260E-1,-4.202704877E-3,-1.481112838E-2,-9.658813477E-3,1.817484332E-2
