"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.518979900E-2,-2.153700590E-2,-4.402416945E-2,-2.892780304E-2,5.691034974E-2
6.017594400E-2,-4.825110734E-2,-8.021229506E-2,3.627777100E-3,9.367679757E-2
6.516203800E-2,-5.574062467E-2,-1.384561658E-1,1.076269150E-1,1.840127167E-1
7.014818400E-2,-4.026617110E-2,-1.546583176E-1,1.715345383E-1,2.344454255E-1
7.535552800E-2,-1.867923141E-2,-1.525806487E-1,2.076654434E-1,2.583693179E-1
8.034167400E-2,-8.440583944E-3,-1.769642234E-1,2.255830765E-1,2.868367205E-1
8.532781900E-2,-3.240904212E-2,-1.732107997E-1,2.420234680E-1,2.993788339E-1
9.031396500E-2,-2.217982709E-2,-1.433792114E-1,2.020702362E-1,2.487607754E-1
9.530005900E-2,-2.547532320E-3,-1.020396054E-1,1.931915283E-1,2.184983698E-1
1.002862050E-1,-4.826501012E-3,-5.807408690E-2,1.127271652E-1,1.268988119E-1
1.054901630E-1,-2.328751981E-2,-1.792788506E-3,2.450942993E-3,2.348467141E-2
1.104763090E-1,-5.452081561E-2,3.993093967E-2,-8.520412445E-2,1.087508258E-1
1.154624550E-1,-7.996620238E-2,7.499629259E-2,-1.364727020E-1,1.750538084E-1
1.204486010E-1,-7.299863547E-2,8.407932520E-2,-1.491947174E-1,1.861644365E-1
1.254346940E-1,-5.769194663E-2,5.939549208E-2,-1.186141968E-1,1.446565341E-1
1.304208400E-1,-1.131255925E-2,4.976910353E-2,-9.899806976E-2,1.113802293E-1
1.356214650E-1,3.529465199E-2,1.093263626E-1,-8.970260620E-2,1.457550122E-1
1.406076110E-1,9.375908971E-2,1.187388897E-1,-9.706211090E-2,1.797518962E-1
1.455937570E-1,1.272280067E-1,5.724704266E-2,-9.057617188E-2,1.663377062E-1
1.505799030E-1,7.506184280E-2,3.535056114E-2,-4.093456268E-2,9.251800279E-2
1.555659970E-1,3.925052285E-2,1.669400930E-2,1.354217529E-2,4.475135755E-2
1.605521420E-1,4.890102148E-2,-3.425240517E-3,8.350372314E-3,4.972696343E-2
1.657703190E-1,7.936416566E-2,-3.181189299E-2,3.102302551E-2,9.095655798E-2
1.707564650E-1,6.298558414E-2,-8.931744099E-2,9.912395477E-2,1.475477803E-1
1.757426110E-1,4.552282393E-2,-1.036647260E-1,1.973905563E-1,2.275560033E-1
1.807287570E-1,7.327911258E-2,-1.064721346E-1,2.810478210E-1,3.093445029E-1
1.857148510E-1,2.865417302E-2,-9.337824583E-2,2.626447678E-1,2.802192578E-1
1.907009970E-1,1.354651153E-2,-8.578068018E-2,2.288608551E-1,2.447838313E-1
1.958998510E-1,3.383059800E-2,-7.880637050E-2,2.102775574E-1,2.270938232E-1
2.008859970E-1,1.382087171E-2,-3.994533420E-2,1.366586685E-1,1.430462789E-1
2.058721420E-1,-1.531985402E-2,-4.441899061E-2,7.692432404E-2,9.013931596E-2
2.108582880E-1,-2.340297401E-2,-9.317576885E-3,1.427459717E-2,2.895307507E-2
2.158443820E-1,-8.473679423E-3,2.938342094E-2,-2.334594727E-2,3.847365232E-2
2.208305280E-1,1.919759810E-2,8.802562952E-2,-7.629776001E-2,1.180610326E-1
2.260233920E-1,2.224873006E-2,9.630912542E-2,-9.992885590E-2,1.405568564E-1
2.310095380E-1,5.744913220E-2,1.257581711E-1,-1.370525360E-1,1.946764444E-1
2.359956840E-1,6.359964609E-2,1.291057467E-1,-1.289596558E-1,1.932454440E-1
2.409818300E-1,6.960877776E-2,1.327480078E-1,-1.375217438E-1,2.034198749E-1
2.459679240E-1,8.982568979E-2,8.749300241E-2,-9.918689728E-2,1.598803322E-1
2.509540690E-1,7.737411559E-2,5.084109306E-2,-3.606605530E-2,9.935960372E-2
2.561603720E-1,3.302595019E-2,1.526707411E-2,-9.527206421E-3,3.761069795E-2
2.611465170E-1,-1.915407181E-2,-3.111249208E-2,3.046798706E-2,4.757272187E-2
2.661326630E-1,-1.336547732E-2,-2.952247858E-2,4.850578308E-2,5.833544135E-2
2.711188090E-1,-4.815503955E-3,-2.098548412E-2,7.790756226E-2,8.082801420E-2
2.761049030E-1,2.507922053E-2,-5.966338515E-2,1.090850830E-1,1.268394346E-1
2.810910490E-1,5.714222789E-2,-4.849678278E-2,1.396875381E-1,1.585237536E-1
2.862916220E-1,6.061518192E-2,-6.593975425E-2,1.721000671E-1,1.940120733E-1
2.912777670E-1,4.985912144E-2,-7.164907455E-2,1.240959167E-1,1.517211865E-1
2.962639130E-1,4.607245326E-2,-7.068705559E-2,1.052799225E-1,1.349192086E-1
3.012500590E-1,-1.435831189E-2,-7.948043942E-2,9.157752991E-2,1.221054682E-1
3.062361530E-1,-7.650418580E-2,-8.614850044E-2,7.348251343E-2,1.366533364E-1
3.112222990E-1,-8.847950399E-2,-1.190092266E-1,6.047058105E-2,1.601515214E-1
3.164246420E-1,-1.030701771E-1,-9.544676542E-2,4.774951935E-2,1.483696837E-1
3.214107880E-1,-6.843760610E-2,-7.489112020E-2,1.174354553E-2,1.021288239E-1
3.263969340E-1,-3.471674025E-2,-4.078269005E-2,-3.540420532E-2,6.420231784E-2
3.313830800E-1,-3.009086847E-2,1.640385389E-2,-1.218204498E-1,1.265494717E-1
3.363691740E-1,-6.946638227E-3,6.112951040E-2,-1.950817108E-1,2.045530413E-1
3.413553190E-1,-7.893756032E-3,9.377396107E-2,-2.507343292E-1,2.678125669E-1
3.465587050E-1,-2.322606742E-2,7.896554470E-2,-2.725687027E-1,2.847256665E-1
3.515448510E-1,-2.406965196E-2,9.323066473E-2,-2.870893478E-1,3.028062064E-1
3.565309970E-1,-4.607628286E-2,8.412009478E-2,-3.038387299E-1,3.186176203E-1
3.615171420E-1,-1.580612361E-2,1.017331481E-1,-3.180847168E-1,3.343312041E-1
3.665032360E-1,3.057558835E-2,6.334346533E-2,-2.756080627E-1,2.844416732E-1
3.714893820E-1,4.103478789E-2,4.954278469E-2,-2.385654449E-1,2.470866505E-1
3.766927670E-1,3.027603030E-2,8.649230003E-4,-1.360321045E-1,1.393632647E-1
3.816789130E-1,7.952272892E-3,-2.593362331E-2,-5.388069153E-2,6.032346460E-2
3.866650590E-1,-3.259739280E-2,-7.140517235E-2,1.765727997E-2,8.045538013E-2
3.916511530E-1,1.994287968E-2,-1.237540245E-1,9.058094025E-2,1.546534312E-1
3.966372990E-1,1.022341847E-2,-1.355460584E-1,1.034765244E-1,1.708351349E-1
4.016234440E-1,-3.482134640E-2,-8.108279109E-2,1.091308594E-1,1.403441828E-1
4.068452670E-1,-6.168723106E-3,-8.904820681E-2,7.693004608E-2,1.178383141E-1
4.118314650E-1,2.210794389E-2,-8.291038871E-2,2.626514435E-2,8.973712468E-2
4.168175590E-1,3.563871980E-2,-3.652191162E-2,2.827548981E-2,5.833928094E-2
4.218036530E-1,6.514859200E-2,-1.433491707E-4,2.554130554E-2,6.997655234E-2
4.267897990E-1,7.991400361E-2,-9.118556976E-3,4.650115967E-2,9.290723279E-2
4.317759440E-1,6.628052890E-2,-2.271646261E-2,5.064392090E-2,8.645202663E-2
4.369739650E-1,8.387818933E-2,-3.360718489E-2,3.579902649E-2,9.719343506E-2
4.419601110E-1,1.036611497E-1,-2.063161135E-2,4.006481171E-2,1.130331212E-1
