"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.457621200E-2,-2.066275477E-2,-1.231676340E-2,-4.001426697E-2,4.668826037E-2
5.956256600E-2,9.632465243E-2,4.457136989E-2,-1.719532013E-1,2.020716435E-1
6.454886800E-2,8.149689436E-2,5.347973108E-2,-4.156589508E-2,1.059695667E-1
6.953517000E-2,-1.958695054E-2,5.367398262E-4,1.617145538E-2,2.540576097E-2
7.475194100E-2,-5.061350763E-2,-3.186583519E-2,5.540275574E-2,8.152682963E-2
7.973829500E-2,-8.177174628E-2,-6.854838133E-2,5.898380280E-2,1.219204169E-1
8.472459700E-2,-9.588611126E-2,-6.569582224E-2,1.374359131E-1,1.799964377E-1
8.971095100E-2,-7.435300946E-2,-7.721574605E-2,1.820869446E-1,2.112967033E-1
9.469725300E-2,-5.040751398E-2,-6.665164232E-2,1.912860870E-1,2.087432058E-1
9.968355500E-2,-3.771886230E-3,-4.629357159E-2,1.941566467E-1,1.996349803E-1
1.048713680E-1,2.878777683E-2,-4.128611088E-2,1.505632401E-1,1.587531678E-1
1.098577220E-1,3.019632399E-2,-5.064666271E-2,1.259183884E-1,1.390407960E-1
1.148440240E-1,4.063522816E-2,-3.738796711E-2,8.499145508E-2,1.013539801E-1
1.198303780E-1,7.127571106E-2,-3.870995343E-2,4.421043396E-2,9.237559176E-2
1.250001180E-1,2.324783802E-2,-3.344151378E-2,1.043319702E-3,4.074169035E-2
1.300479830E-1,-2.028620243E-2,-3.546842933E-2,-3.093242645E-2,5.124797064E-2
1.350611080E-1,1.881122589E-3,-2.390691638E-2,-4.550838470E-2,5.144018226E-2
1.400802220E-1,3.210321069E-2,-1.644045115E-3,-8.473968506E-2,9.063185557E-2
1.450664720E-1,3.357779980E-2,4.739612341E-2,-1.431627274E-1,1.544973387E-1
1.500976700E-1,2.346342802E-2,7.414487004E-2,-1.788053513E-1,1.949855068E-1
1.550840240E-1,4.607185721E-2,7.961493731E-2,-2.456226349E-1,2.622815911E-1
1.600703260E-1,4.946094751E-2,8.529916406E-2,-2.665090561E-1,2.841644061E-1
1.650566280E-1,2.513650060E-2,9.631541371E-2,-2.778005600E-1,2.950960076E-1
1.700429830E-1,2.265113592E-2,6.368196011E-2,-2.613229752E-1,2.699225136E-1
1.750292850E-1,1.111316681E-2,6.503319740E-2,-1.947774887E-1,2.056479743E-1
1.801950660E-1,-1.608788967E-2,2.710059285E-2,-1.120557785E-1,1.164034356E-1
1.851814200E-1,-3.093563020E-2,2.736565471E-2,-6.451988220E-2,7.660748967E-2
1.901677220E-1,-1.062117517E-2,4.143542051E-2,1.868820190E-2,4.667924941E-2
1.951540760E-1,-3.296661377E-2,1.292532682E-2,6.228065491E-2,7.164315510E-2
2.001403780E-1,-4.579821229E-2,-1.251399517E-3,3.256797791E-2,5.621134614E-2
2.051266800E-1,-4.459306598E-2,-3.629690409E-2,5.262947083E-2,7.794785423E-2
2.103608470E-1,-5.061326921E-2,-5.215387046E-2,4.423713684E-2,8.508027680E-2
2.153472010E-1,-5.432368815E-2,-3.768789768E-2,1.978397369E-2,6.901337799E-2
2.203335030E-1,-7.193194330E-2,-5.634549260E-2,2.975463867E-3,9.142140006E-2
2.254611600E-1,-5.391995609E-2,-7.210333645E-2,-4.611873627E-2,1.011592340E-1
2.304716280E-1,-3.622940183E-2,-4.075795412E-2,-7.768917084E-2,9.491779415E-2
2.354578780E-1,-2.569989860E-2,-3.559121490E-2,-1.038951874E-1,1.127893139E-1
2.405121490E-1,8.186027408E-3,-2.553743124E-2,-1.202058792E-1,1.231609712E-1
2.454985030E-1,4.165326059E-2,-2.732655406E-2,-9.408473969E-2,1.064597244E-1
2.504848050E-1,4.639561474E-2,-1.010015607E-2,-8.031272888E-2,9.329898521E-2
2.554711600E-1,4.153440893E-2,1.611796021E-2,-8.562469482E-2,9.652193600E-2
2.604574620E-1,2.018390596E-2,-1.203915477E-2,-8.148384094E-2,8.480535149E-2
2.654437640E-1,-1.498837769E-2,-9.174555540E-3,-4.462146759E-2,4.795726540E-2
2.706249100E-1,-9.907215834E-3,-1.825630665E-2,1.729488373E-2,2.702884868E-2
2.756112640E-1,-4.296074808E-2,-5.808955431E-2,5.922412872E-2,9.342119469E-2
2.805975660E-1,-6.849218905E-2,-4.820138216E-2,7.688331604E-2,1.136907977E-1
2.855839200E-1,-6.797626615E-2,-4.357284307E-2,4.960918427E-2,9.476516542E-2
2.905702220E-1,-6.535357237E-2,-2.994897962E-2,3.933525085E-2,8.194688988E-2
2.955565240E-1,-6.301145256E-2,-7.179915905E-3,-2.245616913E-2,6.727758823E-2
3.007585030E-1,-1.823669672E-2,1.297643781E-2,-9.019470215E-2,9.293034672E-2
3.057448580E-1,4.855662584E-3,3.548496962E-2,-1.450071335E-1,1.493647525E-1
3.107311600E-1,6.100681424E-2,2.736991644E-2,-1.589183807E-1,1.724122833E-1
3.157175140E-1,7.214567065E-2,5.998387933E-2,-1.397132874E-1,1.682939875E-1
3.207038160E-1,8.357965946E-2,8.335557580E-2,-1.585855484E-1,1.976944300E-1
3.256901180E-1,7.170109451E-2,6.692814827E-2,-1.701517105E-1,1.963976287E-1
3.308939720E-1,1.503959298E-3,3.971236944E-2,-1.297693253E-1,1.357181342E-1
3.358803260E-1,2.935528755E-2,2.033716440E-2,-7.123374939E-2,7.968425325E-2
3.408666280E-1,7.834832370E-2,1.090738177E-2,4.056262970E-2,8.889745628E-2
3.458529830E-1,6.092903018E-2,2.044013143E-2,1.600484848E-1,1.724693108E-1
3.508392850E-1,3.456023335E-2,-1.518443227E-2,2.494325638E-1,2.522728297E-1
3.558255870E-1,3.204202652E-2,-2.945065498E-2,2.549676895E-1,2.586552826E-1
3.610280350E-1,3.167255223E-2,-7.463183999E-2,2.487001419E-1,2.615813883E-1
3.660143890E-1,-4.549980164E-3,-6.329931319E-2,2.780170441E-1,2.851683400E-1
3.710006910E-1,-4.327747226E-2,-8.118890226E-2,2.409038544E-1,2.578744743E-1
3.759870450E-1,-8.926619589E-2,-4.041983187E-2,1.855154037E-1,2.098051038E-1
3.809733470E-1,-9.524768591E-2,-3.622180223E-2,1.687669754E-1,1.971457142E-1
3.859596490E-1,-4.061226547E-2,-3.024636209E-2,6.964015961E-2,8.610429929E-2
3.911610550E-1,-3.906592727E-3,-8.316725492E-3,1.208019257E-2,1.517762966E-2
3.961474100E-1,1.305626333E-2,1.566168666E-2,-2.815055847E-2,3.475929204E-2
4.011337120E-1,5.795563757E-2,2.519112825E-2,-7.493495941E-2,9.802396141E-2
4.061200660E-1,8.588236570E-2,7.247388363E-2,-1.163940430E-1,1.617894242E-1
4.111063680E-1,9.280282259E-2,9.828323126E-2,-1.289873123E-1,1.868413342E-1
4.160926700E-1,1.216570139E-1,1.172967553E-1,-1.722173691E-1,2.412836092E-1
4.212897530E-1,1.294922680E-1,9.196448326E-2,-1.936817169E-1,2.504761887E-1
4.262761080E-1,7.199375331E-2,7.463300228E-2,-2.031211853E-1,2.280600830E-1
4.312624100E-1,2.554021776E-2,8.186367154E-2,-1.959571838E-1,2.138999330E-1
4.362487640E-1,1.545277238E-2,4.936105013E-2,-1.841993332E-1,1.913235370E-1
4.412350660E-1,-3.674402833E-3,7.194986939E-2,-1.418600082E-1,1.591054584E-1
4.462213680E-1,2.244468033E-2,6.124824286E-2,-7.874488831E-2,1.022539406E-1
4.514308470E-1,2.668119967E-2,5.298003554E-2,-4.537582397E-3,5.949252252E-2
4.564172010E-1,7.752071321E-2,7.962909341E-2,3.806209564E-2,1.174690454E-1
4.614035030E-1,9.866110981E-2,6.047064066E-2,6.600284576E-2,1.332181993E-1
4.663898580E-1,1.233955771E-1,7.643869519E-2,3.683471680E-2,1.497535940E-1
4.713761600E-1,1.398498565E-1,1.249254942E-1,8.035659790E-3,1.876937220E-1
4.763624620E-1,1.105758399E-1,9.681963921E-2,-3.838539124E-3,1.470231046E-1
4.815540240E-1,8.562305570E-2,9.026736021E-2,-6.531429291E-2,1.405185427E-1
4.865403780E-1,6.331120431E-2,8.625000715E-2,-9.769630432E-2,1.448859559E-1
4.915266800E-1,2.022774518E-2,6.121519208E-2,-1.107988358E-1,1.281906526E-1
